EPOCH,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,NORAD_CAT_ID,SEMIMAJOR_AXIS,OBJECT_TYPE,RCS_SIZE,LAUNCH_DATE
1635073401.0,73.964,147.3054,3.8637,20.621,27747,7973.693,DEBRIS,SMALL,1991.0
1635647630.0,74.0512,185.9558,181.9969,300.7706,27748,7973.543,DEBRIS,SMALL,1991.0
1635671447.0,71.1051,207.398,262.5067,213.1714,27749,7215.899,DEBRIS,SMALL,1992.0
1635646467.0,71.158,88.9565,52.5117,308.4671,27750,7196.388,DEBRIS,SMALL,1992.0
1635676133.0,71.1645,235.6874,57.0376,303.419,27751,7087.269,DEBRIS,SMALL,1992.0
1635715339.0,75.7588,138.6334,330.1439,96.7714,27752,7182.004,DEBRIS,SMALL,1993.0
1635737659.0,70.9984,283.7525,133.8459,240.1767,27760,7098.518,DEBRIS,SMALL,1994.0
1635692859.0,98.5099,90.437,266.2388,160.0993,27762,7223.794,DEBRIS,SMALL,1999.0
1635662919.0,98.3657,117.1235,119.4873,240.988,27768,7059.671,DEBRIS,SMALL,2002.0
1635653743.0,98.3086,114.0706,33.9782,326.3745,27769,7050.474,DEBRIS,SMALL,2002.0
1635582181.0,52.0126,25.3346,172.0751,272.3716,27772,7532.481,DEBRIS,SMALL,1999.0
1635685299.0,28.9987,47.3107,316.9726,43.0571,27783,7063.881,PAYLOAD,LARGE,2003.0
1635694659.0,29.005,37.675,286.293,197.2043,27784,7064.588,ROCKET BODY,LARGE,2003.0
1635580657.0,59.3783,175.6565,145.1635,24.3261,27788,7948.031,DEBRIS,SMALL,1965.0
1634724043.0,83.1471,205.0752,15.442,105.9414,27797,7448.881,DEBRIS,SMALL,1981.0
1635695466.0,65.8167,158.3328,224.9813,197.5909,27803,7276.113,DEBRIS,SMALL,1982.0
1635726644.0,82.6125,41.2496,130.6793,44.4283,27804,7760.952,DEBRIS,SMALL,1991.0
1635598239.0,98.8254,267.5247,349.2837,10.5997,27806,7166.679,DEBRIS,SMALL,1999.0
1635686898.0,82.9456,300.1714,330.2028,29.7374,27818,7369.833,PAYLOAD,LARGE,2003.0
1635698563.0,82.9443,283.6854,292.0851,241.4389,27819,7362.461,ROCKET BODY,LARGE,2003.0
1635737429.0,98.3926,270.0633,353.4051,6.5839,27840,7140.037,PAYLOAD,LARGE,2003.0
1635704032.0,98.6866,309.6304,24.448,335.7161,27842,7195.556,PAYLOAD,SMALL,2003.0
1635698788.0,98.7103,310.7123,88.2155,272.0293,27843,7201.296,PAYLOAD,MEDIUM,2003.0
1635704683.0,98.6818,310.9621,48.5264,311.6827,27844,7195.57,PAYLOAD,SMALL,2003.0
1635758540.0,98.6763,312.6721,67.1953,293.0278,27845,7195.36,PAYLOAD,MEDIUM,2003.0
1635697702.0,98.6866,309.5701,24.7061,335.4584,27846,7195.548,PAYLOAD,SMALL,2003.0
1635698306.0,98.6877,309.5415,25.5717,334.5944,27847,7195.786,PAYLOAD,SMALL,2003.0
1635707614.0,98.687,311.5501,61.0293,299.1955,27848,7197.012,PAYLOAD,SMALL,2003.0
1635696315.0,73.9318,275.6397,355.8463,4.2644,27858,7015.723,PAYLOAD,MEDIUM,2003.0
1635657846.0,73.9293,224.9979,347.6335,12.4657,27859,7005.115,ROCKET BODY,LARGE,2003.0
1635758443.0,82.468,308.6894,147.6301,212.6166,27868,7863.013,PAYLOAD,MEDIUM,2003.0
1635694917.0,82.4668,306.2615,146.7736,213.4796,27869,7861.677,PAYLOAD,MEDIUM,2003.0
1635706748.0,82.4673,312.3852,151.9308,22.215,27870,7864.32,ROCKET BODY,LARGE,2003.0
1635682595.0,144.5862,70.8381,312.307,47.5734,27880,7128.088,DEBRIS,SMALL,1966.0
1635663514.0,82.9341,293.6893,134.4074,292.4598,27881,7329.522,DEBRIS,SMALL,1976.0
1635090267.0,65.0448,340.3334,251.7226,107.7255,27908,7303.122,DEBRIS,SMALL,1984.0
1635409394.0,65.0482,316.1207,239.2633,120.2789,27909,7301.653,DEBRIS,SMALL,1984.0
1635162729.0,65.051,7.7393,243.7141,115.771,27911,7304.519,DEBRIS,SMALL,1984.0
1635715224.0,64.9145,81.973,186.9589,170.6961,27923,7971.174,DEBRIS,MEDIUM,1987.0
1635732926.0,98.1611,81.4374,203.1537,156.9115,27939,7048.64,PAYLOAD,MEDIUM,2003.0
1635728076.0,98.1812,77.2388,270.8168,89.1569,27940,7054.267,PAYLOAD,LARGE,2003.0
1635696419.0,97.9048,107.922,51.6735,308.8967,27941,7000.789,PAYLOAD,MEDIUM,2003.0
1635697263.0,97.9459,100.3428,292.2954,67.1843,27942,7008.826,PAYLOAD,MEDIUM,2003.0
1635714935.0,98.1723,74.1588,251.5027,108.507,27943,7056.748,PAYLOAD,MEDIUM,2003.0
1635766083.0,98.1846,70.9032,278.3117,81.6825,27944,7060.959,PAYLOAD,MEDIUM,2003.0
1635690719.0,98.1615,73.7602,244.8988,115.1075,27945,7055.34,PAYLOAD,MEDIUM,2003.0
1635705331.0,70.8771,297.8737,105.2727,321.2841,28042,7238.451,DEBRIS,SMALL,1992.0
1635732936.0,98.837,247.0173,40.5355,330.4183,28050,7214.315,ROCKET BODY,LARGE,2003.0
1635755111.0,98.4339,17.2888,337.2767,22.5853,28051,7155.83,PAYLOAD,LARGE,2003.0
1635740315.0,98.9685,290.1223,240.2371,312.4296,28054,7225.076,PAYLOAD,LARGE,2003.0
1635738247.0,98.7126,290.9207,51.8221,9.5418,28055,7193.455,DEBRIS,SMALL,2003.0
1635700219.0,98.7132,289.3556,60.5628,299.5947,28056,7195.925,DEBRIS,SMALL,2003.0
1635731172.0,98.5273,246.8863,90.5716,269.5655,28057,7151.019,PAYLOAD,LARGE,2003.0
